YYYY-MM,Contract,Meeting,Order
1990-01,ZQF90,No FOMC,0
1990-02,ZQG90,1990-02-07,-1
1990-03,ZQH90,1990-03-27,1
1990-04,ZQJ90,No FOMC,0
1990-05,ZQK90,1990-05-15,2
1990-06,ZQM90,No FOMC,0
1990-07,ZQN90,1990-07-03,3
1990-08,ZQQ90,1990-08-21,4
1990-09,ZQU90,No FOMC,0
1990-10,ZQV90,1990-10-02,5
1990-11,ZQX90,1990-11-13,6
1990-12,ZQZ90,1990-12-18,7
1991-01,ZQF91,No FOMC,0
1991-02,ZQG91,1991-02-06,8
1991-03,ZQH91,1991-03-26,9
1991-04,ZQJ91,No FOMC,0
1991-05,ZQK91,1991-05-14,10
1991-06,ZQM91,No FOMC,0
1991-07,ZQN91,1991-07-03,11
1991-08,ZQQ91,1991-08-20,12
1991-09,ZQU91,No FOMC,0
1991-10,ZQV91,1991-10-01,13
1991-11,ZQX91,1991-11-05,14
1991-12,ZQZ91,1991-12-17,15
1992-01,ZQF92,No FOMC,0
1992-02,ZQG92,1992-02-05,16
1992-03,ZQH92,1992-03-31,17
1992-04,ZQJ92,No FOMC,0
1992-05,ZQK92,1992-05-19,18
1992-06,ZQM92,No FOMC,0
1992-07,ZQN92,1992-07-01,19
1992-08,ZQQ92,1992-08-18,20
1992-09,ZQU92,No FOMC,0
1992-10,ZQV92,1992-10-06,21
1992-11,ZQX92,1992-11-17,22
1992-12,ZQZ92,1992-12-22,23
1993-01,ZQF93,No FOMC,0
1993-02,ZQG93,1993-02-03,24
1993-03,ZQH93,1993-03-23,25
1993-04,ZQJ93,No FOMC,0
1993-05,ZQK93,1993-05-18,26
1993-06,ZQM93,No FOMC,0
1993-07,ZQN93,1993-07-07,27
1993-08,ZQQ93,1993-08-17,28
1993-09,ZQU93,1993-09-21,29
1993-10,ZQV93,No FOMC,0
1993-11,ZQX93,1993-11-16,30
1993-12,ZQZ93,1993-12-21,31
1994-01,ZQF94,No FOMC,0
1994-02,ZQG94,1994-02-04,32
1994-03,ZQH94,1994-03-22,33
1994-04,ZQJ94,No FOMC,0
1994-05,ZQK94,1994-05-17,34
1994-06,ZQM94,No FOMC,0
1994-07,ZQN94,1994-07-06,35
1994-08,ZQQ94,1994-08-16,36
1994-09,ZQU94,1994-09-27,37
1994-10,ZQV94,No FOMC,0
1994-11,ZQX94,1994-11-15,38
1994-12,ZQZ94,1994-12-20,39
1995-01,ZQF95,No FOMC,0
1995-02,ZQG95,1995-02-01,40
1995-03,ZQH95,1995-03-28,41
1995-04,ZQJ95,No FOMC,0
1995-05,ZQK95,1995-05-23,42
1995-06,ZQM95,No FOMC,0
1995-07,ZQN95,1995-07-06,43
1995-08,ZQQ95,1995-08-22,44
1995-09,ZQU95,1995-09-26,45
1995-10,ZQV95,No FOMC,0
1995-11,ZQX95,1995-11-15,46
1995-12,ZQZ95,1995-12-19,47
1996-01,ZQF96,1996-01-31,48
1996-02,ZQG96,No FOMC,0
1996-03,ZQH96,1996-03-26,49
1996-04,ZQJ96,No FOMC,0
1996-05,ZQK96,1996-05-21,50
1996-06,ZQM96,No FOMC,0
1996-07,ZQN96,1996-07-03,51
1996-08,ZQQ96,1996-08-20,52
1996-09,ZQU96,1996-09-24,53
1996-10,ZQV96,No FOMC,0
1996-11,ZQX96,1996-11-13,54
1996-12,ZQZ96,1996-12-17,55
1997-01,ZQF97,No FOMC,0
1997-02,ZQG97,1997-02-05,56
1997-03,ZQH97,1997-03-25,57
1997-04,ZQJ97,No FOMC,0
1997-05,ZQK97,1997-05-20,58
1997-06,ZQM97,No FOMC,0
1997-07,ZQN97,1997-07-02,59
1997-08,ZQQ97,1997-08-19,60
1997-09,ZQU97,1997-09-30,61
1997-10,ZQV97,No FOMC,0
1997-11,ZQX97,1997-11-12,62
1997-12,ZQZ97,1997-12-16,63
1998-01,ZQF98,No FOMC,0
1998-02,ZQG98,1998-02-04,64
1998-03,ZQH98,1998-03-31,65
1998-04,ZQJ98,No FOMC,0
1998-05,ZQK98,1998-05-19,66
1998-06,ZQM98,No FOMC,0
1998-07,ZQN98,1998-07-01,67
1998-08,ZQQ98,1998-08-18,68
1998-09,ZQU98,1998-09-29,69
1998-10,ZQV98,No FOMC,0
1998-11,ZQX98,1998-11-17,70
1998-12,ZQZ98,1998-12-22,71
1999-01,ZQF99,No FOMC,0
1999-02,ZQG99,1999-02-03,72
1999-03,ZQH99,1999-03-30,73
1999-04,ZQJ99,No FOMC,0
1999-05,ZQK99,1999-05-18,74
1999-06,ZQM99,1999-06-30,75
1999-07,ZQN99,No FOMC,0
1999-08,ZQQ99,1999-08-24,76
1999-09,ZQU99,No FOMC,0
1999-10,ZQV99,1999-10-05,77
1999-11,ZQX99,1999-11-16,78
1999-12,ZQZ99,1999-12-21,79
2000-01,ZQF00,No FOMC,0
2000-02,ZQG00,2000-02-02,80
2000-03,ZQH00,2000-03-21,81
2000-04,ZQJ00,No FOMC,0
2000-05,ZQK00,2000-05-16,82
2000-06,ZQM00,2000-06-28,83
2000-07,ZQN00,No FOMC,0
2000-08,ZQQ00,2000-08-22,84
2000-09,ZQU00,No FOMC,0
2000-10,ZQV00,2000-10-03,85
2000-11,ZQX00,2000-11-15,86
2000-12,ZQZ00,2000-12-19,87
2001-01,ZQF01,2001-01-31,88
2001-02,ZQG01,No FOMC,0
2001-03,ZQH01,2001-03-20,89
2001-04,ZQJ01,No FOMC,0
2001-05,ZQK01,2001-05-15,90
2001-06,ZQM01,2001-06-27,91
2001-07,ZQN01,No FOMC,0
2001-08,ZQQ01,2001-08-21,92
2001-09,ZQU01,No FOMC,0
2001-10,ZQV01,2001-10-02,93
2001-11,ZQX01,2001-11-06,94
2001-12,ZQZ01,2001-12-11,95
2002-01,ZQF02,2002-01-30,96
2002-02,ZQG02,No FOMC,0
2002-03,ZQH02,2002-03-19,97
2002-04,ZQJ02,No FOMC,0
2002-05,ZQK02,2002-05-07,98
2002-06,ZQM02,2002-06-26,99
2002-07,ZQN02,No FOMC,0
2002-08,ZQQ02,2002-08-13,100
2002-09,ZQU02,2002-09-24,101
2002-10,ZQV02,No FOMC,0
2002-11,ZQX02,2002-11-06,102
2002-12,ZQZ02,2002-12-10,103
2003-01,ZQF03,2003-01-29,104
2003-02,ZQG03,No FOMC,0
2003-03,ZQH03,2003-03-18,105
2003-04,ZQJ03,No FOMC,0
2003-05,ZQK03,2003-05-06,106
2003-06,ZQM03,2003-06-25,107
2003-07,ZQN03,No FOMC,0
2003-08,ZQQ03,2003-08-12,108
2003-09,ZQU03,2003-09-15,109
2003-10,ZQV03,2003-10-28,110
2003-11,ZQX03,No FOMC,0
2003-12,ZQZ03,2003-12-09,111
2004-01,ZQF04,2004-01-28,112
2004-02,ZQG04,No FOMC,0
2004-03,ZQH04,2004-03-16,113
2004-04,ZQJ04,No FOMC,0
2004-05,ZQK04,2004-05-04,114
2004-06,ZQM04,2004-06-30,115
2004-07,ZQN04,No FOMC,0
2004-08,ZQQ04,2004-08-10,116
2004-09,ZQU04,2004-09-21,117
2004-10,ZQV04,No FOMC,0
2004-11,ZQX04,2004-11-10,118
2004-12,ZQZ04,2004-12-14,119
2005-01,ZQF05,No FOMC,0
2005-02,ZQG05,2005-02-02,120
2005-03,ZQH05,2005-03-22,121
2005-04,ZQJ05,No FOMC,0
2005-05,ZQK05,2005-05-03,122
2005-06,ZQM05,2005-06-30,123
2005-07,ZQN05,No FOMC,0
2005-08,ZQQ05,2005-08-09,124
2005-09,ZQU05,2005-09-20,125
2005-10,ZQV05,No FOMC,0
2005-11,ZQX05,2005-11-01,126
2005-12,ZQZ05,2005-12-13,127
2006-01,ZQF06,2006-01-31,128
2006-02,ZQG06,No FOMC,0
2006-03,ZQH06,2006-03-28,129
2006-04,ZQJ06,No FOMC,0
2006-05,ZQK06,2006-05-10,130
2006-06,ZQM06,2006-06-29,131
2006-07,ZQN06,No FOMC,0
2006-08,ZQQ06,2006-08-08,132
2006-09,ZQU06,2006-09-20,133
2006-10,ZQV06,2006-10-25,134
2006-11,ZQX06,No FOMC,0
2006-12,ZQZ06,2006-12-12,135
2007-01,ZQF07,2007-01-31,136
2007-02,ZQG07,No FOMC,0
2007-03,ZQH07,2007-03-21,137
2007-04,ZQJ07,No FOMC,0
2007-05,ZQK07,2007-05-09,138
2007-06,ZQM07,2007-06-28,139
2007-07,ZQN07,No FOMC,0
2007-08,ZQQ07,2007-08-07,140
2007-09,ZQU07,2007-09-18,141
2007-10,ZQV07,2007-10-31,142
2007-11,ZQX07,No FOMC,0
2007-12,ZQZ07,2007-12-11,143
2008-01,ZQF08,2008-01-30,144
2008-02,ZQG08,No FOMC,0
2008-03,ZQH08,2008-03-18,145
2008-04,ZQJ08,2008-04-30,146
2008-05,ZQK08,No FOMC,0
2008-06,ZQM08,2008-06-25,147
2008-07,ZQN08,No FOMC,0
2008-08,ZQQ08,2008-08-05,148
2008-09,ZQU08,2008-09-16,149
2008-10,ZQV08,2008-10-29,150
2008-11,ZQX08,No FOMC,0
2008-12,ZQZ08,2008-12-16,151
2009-01,ZQF09,2009-01-29,152
2009-02,ZQG09,No FOMC,0
2009-03,ZQH09,2009-03-18,153
2009-04,ZQJ09,2009-04-29,154
2009-05,ZQK09,No FOMC,0
2009-06,ZQM09,2009-06-24,155
2009-07,ZQN09,No FOMC,0
2009-08,ZQQ09,2009-08-12,156
2009-09,ZQU09,2009-09-23,157
2009-10,ZQV09,No FOMC,0
2009-11,ZQX09,2009-11-04,158
2009-12,ZQZ09,2009-12-16,159
2010-01,ZQF10,2010-01-27,160
2010-02,ZQG10,No FOMC,0
2010-03,ZQH10,2010-03-16,161
2010-04,ZQJ10,2010-04-28,162
2010-05,ZQK10,No FOMC,0
2010-06,ZQM10,2010-06-24,163
2010-07,ZQN10,No FOMC,0
2010-08,ZQQ10,2010-08-10,164
2010-09,ZQU10,2010-09-21,165
2010-10,ZQV10,No FOMC,0
2010-11,ZQX10,2010-11-03,166
2010-12,ZQZ10,2010-12-14,167
2011-01,ZQF11,2011-01-26,168
2011-02,ZQG11,No FOMC,0
2011-03,ZQH11,2011-03-15,169
2011-04,ZQJ11,2011-04-27,170
2011-05,ZQK11,No FOMC,0
2011-06,ZQM11,2011-06-22,171
2011-07,ZQN11,No FOMC,0
2011-08,ZQQ11,2011-08-09,172
2011-09,ZQU11,2011-09-21,173
2011-10,ZQV11,No FOMC,0
2011-11,ZQX11,2011-11-02,174
2011-12,ZQZ11,2011-12-13,175
2012-01,ZQF12,2012-01-25,176
2012-02,ZQG12,No FOMC,0
2012-03,ZQH12,2012-03-13,177
2012-04,ZQJ12,2012-04-25,178
2012-05,ZQK12,No FOMC,0
2012-06,ZQM12,2012-06-20,179
2012-07,ZQN12,No FOMC,0
2012-08,ZQQ12,2012-08-01,180
2012-09,ZQU12,2012-09-13,181
2012-10,ZQV12,2012-10-24,182
2012-11,ZQX12,No FOMC,0
2012-12,ZQZ12,2012-12-12,183
2013-01,ZQF13,2013-01-30,184
2013-02,ZQG13,No FOMC,0
2013-03,ZQH13,2013-03-20,185
2013-04,ZQJ13,No FOMC,0
2013-05,ZQK13,2013-05-01,186
2013-06,ZQM13,2013-06-19,187
2013-07,ZQN13,2013-07-31,188
2013-08,ZQQ13,No FOMC,0
2013-09,ZQU13,2013-09-19,189
2013-10,ZQV13,2013-10-30,190
2013-11,ZQX13,No FOMC,0
2013-12,ZQZ13,2013-12-18,191
2014-01,ZQF14,2014-01-29,192
2014-02,ZQG14,No FOMC,0
2014-03,ZQH14,2014-03-19,193
2014-04,ZQJ14,2014-04-30,194
2014-05,ZQK14,No FOMC,0
2014-06,ZQM14,2014-06-18,195
2014-07,ZQN14,2014-07-30,196
2014-08,ZQQ14,No FOMC,0
2014-09,ZQU14,2014-09-17,197
2014-10,ZQV14,2014-10-29,198
2014-11,ZQX14,No FOMC,0
2014-12,ZQZ14,2014-12-17,199
2015-01,ZQF15,2015-01-28,200
2015-02,ZQG15,No FOMC,0
2015-03,ZQH15,2015-03-18,201
2015-04,ZQJ15,2015-04-29,202
2015-05,ZQK15,No FOMC,0
2015-06,ZQM15,2015-06-17,203
2015-07,ZQN15,2015-07-29,204
2015-08,ZQQ15,No FOMC,0
2015-09,ZQU15,2015-09-17,205
2015-10,ZQV15,2015-10-28,206
2015-11,ZQX15,No FOMC,0
2015-12,ZQZ15,2015-12-16,207
2016-01,ZQF16,2016-01-27,208
2016-02,ZQG16,No FOMC,0
2016-03,ZQH16,2016-03-16,209
2016-04,ZQJ16,2016-04-27,210
2016-05,ZQK16,No FOMC,0
2016-06,ZQM16,2016-06-15,211
2016-07,ZQN16,2016-07-27,212
2016-08,ZQQ16,No FOMC,0
2016-09,ZQU16,2016-09-21,213
2016-10,ZQV16,No FOMC,0
2016-11,ZQX16,2016-11-02,214
2016-12,ZQZ16,2016-12-14,215
2017-01,ZQF17,No FOMC,0
2017-02,ZQG17,2017-02-01,216
2017-03,ZQH17,2017-03-15,217
2017-04,ZQJ17,No FOMC,0
2017-05,ZQK17,2017-05-03,218
2017-06,ZQM17,2017-06-14,219
2017-07,ZQN17,2017-07-26,220
2017-08,ZQQ17,No FOMC,0
2017-09,ZQU17,2017-09-20,221
2017-10,ZQV17,No FOMC,0
2017-11,ZQX17,2017-11-01,222
2017-12,ZQZ17,2017-12-13,223
2018-01,ZQF18,2018-01-31,224
2018-02,ZQG18,No FOMC,0
2018-03,ZQH18,2018-03-21,225
2018-04,ZQJ18,No FOMC,0
2018-05,ZQK18,2018-05-02,226
2018-06,ZQM18,2018-06-13,227
2018-07,ZQN18,No FOMC,0
2018-08,ZQQ18,2018-08-01,228
2018-09,ZQU18,2018-09-26,229
2018-10,ZQV18,No FOMC,0
2018-11,ZQX18,2018-11-08,230
2018-12,ZQZ18,2018-12-19,231
2019-01,ZQF19,2019-01-30,232
2019-02,ZQG19,No FOMC,0
2019-03,ZQH19,2019-03-20,233
2019-04,ZQJ19,No FOMC,0
2019-05,ZQK19,2019-05-01,234
2019-06,ZQM19,2019-06-19,235
2019-07,ZQN19,2019-07-31,236
2019-08,ZQQ19,No FOMC,0
2019-09,ZQU19,2019-09-18,237
2019-10,ZQV19,2019-10-30,238
2019-11,ZQX19,No FOMC,0
2019-12,ZQZ19,2019-12-11,239
2020-01,ZQF20,2020-01-29,240
2020-02,ZQG20,No FOMC,0
2020-03,ZQH20,2020-03-18,241
2020-04,ZQJ20,2020-04-29,242
2020-05,ZQK20,No FOMC,0
2020-06,ZQM20,2020-06-10,243
2020-07,ZQN20,2020-07-29,244
2020-08,ZQQ20,No FOMC,0
2020-09,ZQU20,2020-09-16,245
2020-10,ZQV20,No FOMC,0
2020-11,ZQX20,2020-11-05,246
2020-12,ZQZ20,2020-12-16,247
2021-01,ZQF21,2021-01-27,248
2021-02,ZQG21,No FOMC,0
2021-03,ZQH21,2021-03-17,249
2021-04,ZQJ21,2021-04-28,250
2021-05,ZQK21,No FOMC,0
2021-06,ZQM21,2021-06-16,251
2021-07,ZQN21,2021-07-28,252
2021-08,ZQQ21,No FOMC,0
2021-09,ZQU21,2021-09-22,253
2021-10,ZQV21,No FOMC,0
2021-11,ZQX21,2021-11-03,254
2021-12,ZQZ21,2021-12-15,255
2022-01,ZQF22,2022-01-26,256
2022-02,ZQG22,No FOMC,0
2022-03,ZQH22,2022-03-16,257
2022-04,ZQJ22,No FOMC,0
2022-05,ZQK22,2022-05-04,258
2022-06,ZQM22,2022-06-15,259
2022-07,ZQN22,2022-07-27,260
2022-08,ZQQ22,No FOMC,0
2022-09,ZQU22,2022-09-21,261
2022-10,ZQV22,No FOMC,0
2022-11,ZQX22,2022-11-02,262
2022-12,ZQZ22,2022-12-14,263
2023-01,ZQF23,No FOMC,0
2023-02,ZQG23,2023-02-01,264
2023-03,ZQH23,2023-03-22,265
2023-04,ZQJ23,No FOMC,0
2023-05,ZQK23,2023-05-03,266
2023-06,ZQM23,2023-06-14,267
2023-07,ZQN23,2023-07-26,268
2023-08,ZQQ23,No FOMC,0
2023-09,ZQU23,2023-09-20,269
2023-10,ZQV23,No FOMC,0
2023-11,ZQX23,2023-11-01,270
2023-12,ZQZ23,2023-12-13,271
2024-01,ZQF24,2024-01-31,272
2024-02,ZQG24,No FOMC,0
2024-03,ZQH24,2024-03-20,273
2024-04,ZQJ24,No FOMC,0
2024-05,ZQK24,2024-05-01,274
2024-06,ZQM24,2024-06-12,275
2024-07,ZQN24,2024-07-31,276
2024-08,ZQQ24,No FOMC,0
2024-09,ZQU24,2024-09-18,277
2024-10,ZQV24,No FOMC,0
